Número do Alimento;Categoria do alimento;Descrição dos alimentos;Saturados (g);Mono-insaturados (g);Poli-insaturados (g);12:0 (g);14:0 (g);16:0 (g);18:0 (g);20:0 (g);22:0 (g);24:0 (g);14:1 (g);16:1 (g);18:1 (g);20:1 (g);18:2 n-6 (g);18:3 n-3 (g);20:4 (g);20:5 (g);22:5 (g);22:6 (g);18:1t (g);18:2t (g)
385;Carnes e derivados;Carne, bovina, seca, crua;8,7;7,5;0,3;0,02;0,70;4,45;3,05;0,03;;;0,18;0,40;6,76;0,04;0,18;0,10;0,03;;0,05;;0,59;0,07
386;Carnes e derivados;Coxinha de frango, frita;2,6;3,4;4,7;0,01;0,03;1,76;0,65;0,05;0,06;0,02;;0,02;3,32;0,07;4,33;0,32;0,01;;;;0,45;0,13
388;Carnes e derivados;Croquete, de carne, frito;5,1;7,4;11,5;;0,13;3,13;1,51;0,08;0,10;0,04;;0,16;7,10;0,07;10,47;1,04;;;;;0,27;
390;Carnes e derivados;Empada, de frango, pré-cozida;5,4;5,2;1,4;;0,03;2,62;2,56;0,08;0,08;0,03;;0,04;5,12;0,03;1,22;0,07;;;;;6,21;0,96
391;Carnes e derivados;Frango, asa, com pele, crua;4,4;6,6;3,0;;0,09;3,36;0,93;;0,03;;;0,80;5,75;;2,96;0,01;0,06;;;;0,03;0,01
392;Carnes e derivados;Frango, caipira, inteiro, com pele, cozido;4,4;7,5;2,3;;0,09;3,23;1,00;0,01;Tr;;;0,69;6,73;0,03;2,18;0,09;Tr;;Tr;Tr;0,03;0,01
393;Carnes e derivados;Frango, caipira, inteiro, sem pele, cozido;2,2;3,4;1,2;;0,04;1,57;0,59;0,01;Tr;Tr;;0,26;3,14;0,02;1,16;0,04;Tr;;Tr;Tr;0,01;
394;Carnes e derivados;Frango, coração, cru;4,9;6,3;3,4;;0,12;3,49;1,16;0,01;0,01;;;0,66;5,56;0,06;3,15;0,13;0,09;;;;0,09;
395;Carnes e derivados;Frango, coração, grelhado;3,5;4,3;1,6;;0,06;2,33;1,03;0,02;0,02;0,01;0,01;0,37;0,08;0,04;1,41;0,04;0,08;;0,01;;0,08;0,02
396;Carnes e derivados;Frango, coxa, com pele, assada;3,1;3,8;2,2;;0,06;2,28;0,76;0,02;Tr;;0,01;0,38;3,35;0,02;2,11;0,09;Tr;Tr;;;0,12;0,02
397;Carnes e derivados;Frango, coxa, com pele, crua;3,0;4,1;2,2;;0,05;2,24;0,68;0,01;0,02;;;0,45;3,61;0,02;2,00;0,09;0,05;;;;0,04;
398;Carnes e derivados;Frango, coxa, sem pele, cozida;2,0;2,1;1,1;;0,12;1,31;0,50;0,01;Tr;;0,01;0,20;1,84;0,01;1,10;0,05;Tr;Tr;;;;
399;Carnes e derivados;Frango, coxa, sem pele, crua;1,6;2,1;0,8;;0,03;1,19;0,40;Tr;0,01;;;0,24;1,82;0,01;0,80;0,02;0,03;;;;0,01;
400;Carnes e derivados;Frango, fígado, cru;1,3;0,7;0,6;Tr;0,02;0,69;0,58;0,01;0,01;0,01;;0,05;0,58;0,01;0,38;0,01;0,13;;0,03;0,02;0,01;
401;Carnes e derivados;Frango, filé, à milanesa;1,6;2,4;3,3;;0,02;1,09;0,44;0,03;0,04;0,02;;0,05;2,24;0,03;3,01;0,23;0,04;0,02;;;0,02;0,02
402;Carnes e derivados;Frango, inteiro, com pele, cru;5,2;7,2;3,9;;0,11;3,94;1,01;0,02;0,03;;;0,88;6,31;0,03;3,57;0,20;0,07;;;;0,07;
403;Carnes e derivados;Frango, inteiro, sem pele, assado;2,1;2,6;1,8;;0,04;1,48;0,57;0,01;Tr;Tr;0,01;0,19;2,36;0,02;1,73;0,09;Tr;Tr;;;0,10;0,02
404;Carnes e derivados;Frango, inteiro, sem pele, cozido;2,2;2,5;1,5;;0,04;1,58;0,55;0,01;Tr;;0,01;0,23;2,26;0,02;1,42;0,07;Tr;Tr;;;0,09;0,02
